Variable,Value
Q_48001_17201,0.0
Q_48001_17218,0.0
Q_48001_17359,0.0
Q_48001_17372,0.0
Q_48001_17395,0.0
Q_48001_17404,0.0
Q_48001_17447,0.0
Q_48001_17466,0.0
Q_48001_17507,0.0
Q_48001_17592,13131.97171
Q_48001_17620,0.0
Q_48001_17679,0.0
Q_48001_17717,0.0
Q_48001_17784,0.0
Q_48001_17792,0.0
Q_48001_17822,0.0
Q_48001_17829,0.0
Q_48001_17896,0.0
Q_48001_17931,0.0
Q_48001_17934,0.0
Q_48001_17942,0.0
Q_48001_17943,0.0
Q_48001_17945,0.0
Q_48001_17952,0.0
Q_48001_18029,0.0
Q_48001_18042,0.0
Q_48001_18063,0.0
Q_48001_18082,0.0
Q_48001_18127,0.0
Q_48001_18286,0.0
Q_48001_18288,0.0
Q_48001_18294,0.0
Q_48001_18303,0.0
Q_48003_17201,0.0
Q_48003_17218,0.0
Q_48003_17359,0.0
Q_48003_17372,0.0
Q_48003_17395,0.0
Q_48003_17404,0.0
Q_48003_17447,0.0
Q_48003_17466,0.0
Q_48003_17507,0.0
Q_48003_17592,0.0
Q_48003_17620,0.0
Q_48003_17679,0.0
Q_48003_17717,0.0
Q_48003_17784,0.0
Q_48003_17792,0.0
Q_48003_17822,0.0
Q_48003_17829,0.0
Q_48003_17896,0.0
Q_48003_17931,0.0
Q_48003_17934,0.0
Q_48003_17942,0.0
Q_48003_17943,0.0
Q_48003_17945,0.0
Q_48003_17952,0.0
Q_48003_18029,0.0
Q_48003_18042,0.0
Q_48003_18063,0.0
Q_48003_18082,0.0
Q_48003_18127,0.0
Q_48003_18286,0.0
Q_48003_18288,0.0
Q_48003_18294,0.0
Q_48003_18303,0.0
Q_48005_17201,0.0
Q_48005_17218,0.0
Q_48005_17359,0.0
Q_48005_17372,0.0
Q_48005_17395,0.0
Q_48005_17404,0.0
Q_48005_17447,0.0
Q_48005_17466,0.0
Q_48005_17507,0.0
Q_48005_17592,0.0
Q_48005_17620,0.0
Q_48005_17679,0.0
Q_48005_17717,0.0
Q_48005_17784,0.0
Q_48005_17792,0.0
Q_48005_17822,0.0
Q_48005_17829,0.0
Q_48005_17896,0.0
